epoch,step,train_loss,val_loss
0,6,,0.00011594482930377126
1,13,,4.4838059693574905e-05
2,20,,2.6366593374405056e-05
3,27,,1.3484953342413064e-05
4,34,,1.0536246008996386e-05
5,41,,5.0854546316259075e-06
6,48,,5.877887815586291e-06
7,49,2.748377482930664e-05,
7,55,,1.1060187716793735e-05
8,62,,6.8086669671174604e-06
9,69,,8.372595402761362e-06
10,76,,1.350465026916936e-05
11,83,,5.507051355380099e-06
12,90,,5.14886642122292e-06
13,97,,8.691128641657997e-06
14,99,5.8455916587263346e-06,
14,104,,6.648872385994764e-06
15,111,,8.997040822578128e-06
