epoch,step,test_loss,test_mae,train_loss,val_loss
0,6,,,,0.0008557372493669391
1,13,,,,0.000280412205029279
2,20,,,,5.033608886151342e-06
3,27,,,,5.17699891133816e-06
4,34,,,,3.0354200134752318e-05
5,41,,,,2.256109655718319e-05
6,48,,,,2.3808963305782527e-05
7,49,,,0.00016629163292236626,
7,55,,,,4.8596102715237066e-05
8,62,,,,6.918258804944344e-06
9,69,,,,1.578615774633363e-05
10,76,,,,3.521735925460234e-05
11,83,,,,4.4664837332675233e-05
12,90,,,,9.787946510186885e-06
13,91,9.787946510186885e-06,0.0025848252698779106,,
