id,price,qty,quoteQty,time,isBuyerMaker,side
937070342,0.8882,41.0,36.4162,2025-04-24 18:20:05.194,False,BUY
937070343,0.8882,12.0,10.6584,2025-04-24 18:20:05.194,False,BUY
937070344,0.8882,6.0,5.3292,2025-04-24 18:20:05.194,False,BUY
937070345,0.8882,48.0,42.6336,2025-04-24 18:20:05.194,False,BUY
937070346,0.8882,7.0,6.2174,2025-04-24 18:20:06.930,False,BUY
937070347,0.8882,1237.0,1098.7034,2025-04-24 18:20:07.043,False,BUY
937070348,0.8882,19.0,16.8758,2025-04-24 18:20:07.043,False,BUY
937070349,0.8882,11.0,9.7702,2025-04-24 18:20:07.043,False,BUY
937070350,0.8882,19.0,16.8758,2025-04-24 18:20:07.043,False,BUY
937070351,0.8882,16.0,14.2112,2025-04-24 18:20:07.043,False,BUY
937070352,0.8882,64.0,56.8448,2025-04-24 18:20:08.032,True,SELL
937070353,0.8882,19.0,16.8758,2025-04-24 18:20:08.032,True,SELL
937070354,0.8881,118.0,104.7958,2025-04-24 18:20:08.336,False,BUY
937070355,0.8881,117.0,103.9077,2025-04-24 18:20:08.336,False,BUY
937070356,0.8881,358.0,317.9398,2025-04-24 18:20:08.336,False,BUY
937070357,0.8881,19.0,16.8739,2025-04-24 18:20:08.336,False,BUY
937070358,0.8882,246.0,218.4972,2025-04-24 18:20:08.336,False,BUY
937070359,0.8882,12.0,10.6584,2025-04-24 18:20:08.336,False,BUY
937070360,0.8882,129.0,114.5778,2025-04-24 18:20:08.336,False,BUY
937070361,0.8881,43.0,38.1883,2025-04-24 18:20:15.006,True,SELL
937070362,0.8881,107.0,95.0267,2025-04-24 18:20:15.006,True,SELL
937070363,0.8881,151.0,134.1031,2025-04-24 18:20:15.006,True,SELL
937070364,0.8881,61.0,54.1741,2025-04-24 18:20:15.006,True,SELL
937070365,0.8881,19.0,16.8739,2025-04-24 18:20:15.006,True,SELL
937070366,0.8881,86.0,76.3766,2025-04-24 18:20:15.006,True,SELL
937070367,0.888,7.0,6.216,2025-04-24 18:20:15.478,True,SELL
937070368,0.888,35.0,31.08,2025-04-24 18:20:15.478,True,SELL
937070369,0.888,82.0,72.816,2025-04-24 18:20:15.478,True,SELL
937070370,0.888,149.0,132.312,2025-04-24 18:20:15.478,True,SELL
937070371,0.888,78.0,69.264,2025-04-24 18:20:15.481,True,SELL
937070372,0.888,19.0,16.872,2025-04-24 18:20:15.481,True,SELL
937070373,0.8879,12.0,10.6548,2025-04-24 18:20:15.484,True,SELL
937070374,0.8879,19.0,16.8701,2025-04-24 18:20:15.484,True,SELL
937070375,0.8879,313.0,277.9127,2025-04-24 18:20:15.484,True,SELL
937070376,0.8879,20.0,17.758,2025-04-24 18:20:15.484,True,SELL
937070377,0.8879,6.0,5.3274,2025-04-24 18:20:15.484,True,SELL
937070378,0.8879,163.0,144.7277,2025-04-24 18:20:15.484,True,SELL
937070379,0.8879,51.0,45.2829,2025-04-24 18:20:15.484,True,SELL
937070380,0.8879,600.0,532.74,2025-04-24 18:20:15.484,True,SELL
937070381,0.8879,7.0,6.2153,2025-04-24 18:20:15.484,True,SELL
937070382,0.8879,19.0,16.8701,2025-04-24 18:20:15.491,True,SELL
937070383,0.8877,7.0,6.2139,2025-04-24 18:20:15.621,True,SELL
937070384,0.8877,19.0,16.8663,2025-04-24 18:20:15.621,True,SELL
937070385,0.8877,232.0,205.9464,2025-04-24 18:20:15.621,True,SELL
937070386,0.8877,17.0,15.0909,2025-04-24 18:20:15.621,True,SELL
937070387,0.8877,2.0,1.7754,2025-04-24 18:20:15.624,True,SELL
937070388,0.8876,101.0,89.6476,2025-04-24 18:20:21.204,False,BUY
937070389,0.8876,119.0,105.6244,2025-04-24 18:20:21.204,False,BUY
937070390,0.8876,7.0,6.2132,2025-04-24 18:20:21.204,False,BUY
937070391,0.8876,48.0,42.6048,2025-04-24 18:20:21.204,False,BUY
937070392,0.8876,31.0,27.5156,2025-04-24 18:20:21.206,False,BUY
937070393,0.8876,6.0,5.3256,2025-04-24 18:20:21.206,False,BUY
937070394,0.8876,19.0,16.8644,2025-04-24 18:20:21.206,False,BUY
937070395,0.8876,9.0,7.9884,2025-04-24 18:20:21.206,False,BUY
937070396,0.8876,21.0,18.6396,2025-04-24 18:20:21.206,False,BUY
937070397,0.8878,19.0,16.8682,2025-04-24 18:20:21.956,False,BUY
937070398,0.8878,6.0,5.3268,2025-04-24 18:20:21.956,False,BUY
937070399,0.8879,246.0,218.4234,2025-04-24 18:20:21.956,False,BUY
937070400,0.8879,12.0,10.6548,2025-04-24 18:20:21.956,False,BUY
937070401,0.8879,313.0,277.9127,2025-04-24 18:20:21.956,False,BUY
937070402,0.8879,19.0,16.8701,2025-04-24 18:20:21.956,False,BUY
937070403,0.8879,6.0,5.3274,2025-04-24 18:20:21.956,False,BUY
937070404,0.8879,6.0,5.3274,2025-04-24 18:20:21.956,False,BUY
937070405,0.888,178.0,158.064,2025-04-24 18:20:21.956,False,BUY
937070406,0.888,360.0,319.68,2025-04-24 18:20:21.956,False,BUY
937070407,0.888,100.0,88.8,2025-04-24 18:20:21.956,False,BUY
937070408,0.888,12.0,10.656,2025-04-24 18:20:21.956,False,BUY
937070409,0.888,11.0,9.768,2025-04-24 18:20:21.956,False,BUY
937070410,0.888,6.0,5.328,2025-04-24 18:20:21.956,False,BUY
937070411,0.888,19.0,16.872,2025-04-24 18:20:21.956,False,BUY
937070412,0.888,313.0,277.944,2025-04-24 18:20:21.956,False,BUY
937070413,0.888,223.0,198.024,2025-04-24 18:20:21.956,False,BUY
937070414,0.888,11.0,9.768,2025-04-24 18:20:21.956,False,BUY
937070415,0.888,6.0,5.328,2025-04-24 18:20:21.956,False,BUY
937070416,0.888,814.0,722.832,2025-04-24 18:20:21.956,False,BUY
937070417,0.888,6.0,5.328,2025-04-24 18:20:21.956,False,BUY
937070418,0.888,112.0,99.456,2025-04-24 18:20:21.956,False,BUY
937070419,0.888,112.0,99.456,2025-04-24 18:20:21.956,False,BUY
937070420,0.888,112.0,99.456,2025-04-24 18:20:21.956,False,BUY
937070421,0.888,1126.0,999.888,2025-04-24 18:20:21.956,False,BUY
937070422,0.888,1435.0,1274.28,2025-04-24 18:20:21.956,False,BUY
937070423,0.8881,275.0,244.2275,2025-04-24 18:20:21.956,False,BUY
937070424,0.8881,358.0,317.9398,2025-04-24 18:20:21.956,False,BUY
937070425,0.8881,177.0,157.1937,2025-04-24 18:20:21.956,False,BUY
937070426,0.8881,246.0,218.4726,2025-04-24 18:20:21.956,False,BUY
937070427,0.8881,6.0,5.3286,2025-04-24 18:20:21.956,False,BUY
937070428,0.8881,24.0,21.3144,2025-04-24 18:20:21.956,False,BUY
937070429,0.8881,12.0,10.6572,2025-04-24 18:20:21.956,False,BUY
937070430,0.8881,19.0,16.8739,2025-04-24 18:20:21.956,False,BUY
937070431,0.8881,6.0,5.3286,2025-04-24 18:20:21.956,False,BUY
937070432,0.8881,313.0,277.9753,2025-04-24 18:20:21.956,False,BUY
937070433,0.8881,922.0,818.8282,2025-04-24 18:20:21.956,False,BUY
937070434,0.8881,142.0,126.1102,2025-04-24 18:20:21.956,False,BUY
937070435,0.888,281.0,249.528,2025-04-24 18:20:21.959,False,BUY
937070436,0.8881,419.0,372.1139,2025-04-24 18:20:21.959,False,BUY
937070437,0.8878,6.0,5.3268,2025-04-24 18:20:25.367,True,SELL
937070438,0.8878,49.0,43.5022,2025-04-24 18:20:25.367,True,SELL
937070439,0.8878,13.0,11.5414,2025-04-24 18:20:25.367,True,SELL
937070440,0.8878,52.0,46.1656,2025-04-24 18:20:25.367,True,SELL
937070441,0.8878,19.0,16.8682,2025-04-24 18:20:25.367,True,SELL
